hhid,date,charcoal_consumption,pellet_consumption,cooking_duration_min
359,2025-11-21,0.128881,0.0,131.0
365,2025-11-21,0.3350750000000002,0.0,191.0
365,2025-11-22,1.5411209999999993,0.0,648.0
365,2025-11-23,0.6171499999999998,0.6497069999999999,415.0
365,2025-11-24,0.85173,0.610717,210.0
365,2025-11-25,1.1570099999999999,0.65856,503.0
365,2025-11-26,1.2691359999999998,0.516969,480.0
365,2025-11-27,0.6556350000000002,0.5947870000000001,185.0
365,2025-11-28,0.5536979999999998,0.0,241.0
370,2025-11-12,0.7594589999999996,0.0,650.0
370,2025-11-15,1.786854,1.3408639999999998,759.0
370,2025-11-16,0.5407360000000001,0.0,599.0
370,2025-11-17,0.7980820000000002,1.3592310000000003,599.0
370,2025-11-18,0.1374890000000002,0.1790859999999999,642.0
370,2025-11-19,0.8281620000000001,2.6238579999999994,69.0
374,2025-11-16,1.334306,0.0,277.0
374,2025-11-17,0.6028809999999998,0.0,267.0
374,2025-11-18,1.7252609999999997,0.0,295.0
386,2025-11-10,1.684858,0.7602760000000002,267.0
386,2025-11-11,1.935179,1.2481400000000002,868.0
386,2025-11-14,2.0433279999999994,0.740628,1038.0
386,2025-11-15,2.0430869999999994,0.407032,1200.0
386,2025-11-17,1.409076,0.0,425.0
388,2025-11-10,1.223465,0.329704,307.0
388,2025-11-11,1.4910929999999998,1.3589160000000002,343.0
388,2025-11-14,1.206966,1.144412,324.0
388,2025-11-15,1.8658209999999995,1.055902,672.0
388,2025-11-16,1.3833719999999992,0.664986,568.0
394,2025-11-19,3.573277,0.0,514.0
394,2025-11-22,3.649446,0.0,181.0
394,2025-11-24,3.981497,0.0,772.0
425,2025-11-20,0.432608,1.361315000000001,171.0
425,2025-11-22,0.49391999999999986,1.9930829999999993,201.0
425,2025-11-23,0.7268379999999999,0.6053050000000001,161.0
425,2025-11-24,1.118746,1.929689999999999,147.0
425,2025-11-25,0.1790329999999999,0.7988100000000002,201.0
425,2025-11-26,0.480101,0.5159170000000002,61.0
476,2025-11-20,0.0,4.119692,3.0
476,2025-11-21,1.172654,0.0,25.0
476,2025-11-24,0.0,0.0,21.0
476,2025-11-26,0.0,0.0,41.0
482,2025-11-21,0.7851919999999998,0.0,533.0
482,2025-11-22,0.25107999999999986,0.0,115.0
482,2025-11-23,0.36831599999999987,0.0,574.0
482,2025-11-24,0.420649,0.0,296.0
482,2025-11-25,0.432069,0.0,223.0
482,2025-11-26,0.314036,0.0,196.0
482,2025-11-27,0.5359499999999999,0.0,223.0
536,2025-11-24,0.344671,0.0,813.0
536,2025-11-25,0.773503,0.393165,681.0
